ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb
ASML NA Equity,NL0010273215,ASML Holding NV,Information Technology,0.05595013,403.138042,681.7,2023-12-29,ASML NA
MC FP Equity,FR0000121014,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,0.04124028,276.12662,733.6,2023-12-29,MC FP
SAP GY Equity,DE0007164600,SAP SE,Information Technology,0.02965252,1044.228597,139.48,2023-12-29,SAP GY
TTE FP Equity,FR0000120271,TotalEnergies SE,Energy,0.02873962,2291.639243,61.6,2023-12-29,TTE FP
SIE GY Equity,DE0007236101,Siemens AG,Industrials,0.0262913,760.0,169.92,2023-12-29,SIE GY
OR FP Equity,FR0000120321,L'Oreal SA,Consumer Staples,0.02212933,241.198698,450.65,2023-12-29,OR FP
SAN FP Equity,FR0000120578,Sanofi SA,Health Care,0.020801180000000002,1138.285286,89.76,2023-12-29,SAN FP
SU FP Equity,FR0000121972,Schneider Electric SE,Industrials,0.020139740000000003,544.19409,181.78,2023-12-29,SU FP
ALV GY Equity,DE0008404005,Allianz SE,Financials,0.01986657,403.313996,241.95,2023-12-29,ALV GY
AI FP Equity,FR0000120073,Air Liquide SA,Materials,0.01877932,523.741618,176.12,2023-12-29,AI FP
AIR FP Equity,NL0000235190,Airbus SE,Industrials,0.0168696,592.796708,139.78,2023-12-29,AIR FP
IBE SQ Equity,ES0144580Y14,Iberdrola SA,Utilities,0.01457878,6032.7641,11.87,2023-12-29,IBE SQ
DTE GY Equity,DE0005557508,Deutsche Telekom AG,Communication Services,0.01435221,3241.198087,21.75,2023-12-29,DTE GY
BNP FP Equity,FR0000131104,BNP Paribas SA,Financials,0.013385629999999999,1050.461,62.59,2023-12-29,BNP FP
SAN SQ Equity,ES0113900J37,Banco Santander SA,Financials,0.01245312,16184.146059,3.7795,2023-12-29,SAN SQ
RMS FP Equity,FR0000052292,Hermes International SCA,Consumer Discretionary,0.01237209,31.670824,1918.8,2023-12-29,RMS FP
DG FP Equity,FR0000125486,Vinci SA,Industrials,0.01175194,507.686028,113.7,2023-12-29,DG FP
ENEL IM Equity,IT0003128367,Enel SpA,Utilities,0.01114393,8133.343957,6.73,2023-12-29,ENEL IM
SAF FP Equity,FR0000073272,Safran SA,Industrials,0.01109656,341.808433,159.46,2023-12-29,SAF FP
EL FP Equity,FR0000121667,EssilorLuxottica SA,Health Care,0.010900680000000001,294.838255,181.6,2023-12-29,EL FP
CS FP Equity,FR0000120628,AXA SA,Financials,0.01083101,1804.015047,29.49,2023-12-29,CS FP
MUV2 GY Equity,DE0008430026,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,Financials,0.01042155,136.46815,375.1,2023-12-29,MUV2 GY
ABI BB Equity,BE0974293251,Anheuser-Busch InBev SA/NV,Consumer Staples,0.010330820000000001,868.598431,58.42,2023-12-29,ABI BB
MBG GY Equity,DE0007100000,Mercedes-Benz Group AG,Consumer Discretionary,0.01021787,802.378085,62.55,2023-12-29,MBG GY
IFX GY Equity,DE0006231004,Infineon Technologies AG,Information Technology,0.01004992,1305.921137,37.8,2023-12-29,IFX GY
BBVA SQ Equity,ES0113211835,Banco Bilbao Vizcaya Argentaria SA,Financials,0.009990510000000001,5965.473005,8.226,2023-12-29,BBVA SQ
INGA NA Equity,NL0011821202,ING Groep NV,Financials,0.009967209999999999,3619.51197,13.526,2023-12-29,INGA NA
STLAM IM Equity,NL00150001Q9,Stellantis NV,Consumer Discretionary,0.00952642,2212.40814,21.15,2023-12-29,STLAM IM
DHL GY Equity,DE0005552004,Deutsche Post AG,Industrials,0.00905205,991.247527,44.855,2023-12-29,DHL GY
BAS GY Equity,DE000BASF111,BASF SE,Materials,0.0088637,892.522164,48.78,2023-12-29,BAS GY
ITX SQ Equity,ES0148396007,Industria de Diseno Textil SA,Consumer Discretionary,0.00875663,1090.8275,39.43,2023-12-29,ITX SQ
ISP IM Equity,IT0000072618,Intesa Sanpaolo SpA,Financials,0.00836363,15540.379141,2.6435,2023-12-29,ISP IM
PRX NA Equity,NL0013654783,Prosus NV,Consumer Discretionary,0.008036149999999999,1462.754703,26.985,2023-12-29,PRX NA
UCG IM Equity,IT0005239360,UniCredit SpA,Financials,0.008032850000000001,1606.196772,24.565,2023-12-29,UCG IM
RACE IM Equity,NL0011585146,Ferrari NV,Consumer Discretionary,0.007832170000000001,126.050274,305.2,2023-12-29,RACE IM
BN FP Equity,FR0000120644,Danone SA,Consumer Staples,0.0076922299999999996,643.884472,58.68,2023-12-29,BN FP
ENI IM Equity,IT0003132476,Eni SpA,Energy,0.00738411,2363.156525,15.348,2023-12-29,ENI IM
NDA FH Equity,FI4000297767,Nordea Bank Abp,Financials,0.0073174799999999995,3201.713397,11.226,2023-12-29,NDA FH
DB1 GY Equity,DE0005810055,Deutsche Boerse AG,Financials,0.00721417,190.0,186.5,2023-12-29,DB1 GY
BAYN GY Equity,DE000BAY0017,Bayer AG,Health Care,0.00672636,982.424082,33.63,2023-12-29,BAYN GY
RI FP Equity,FR0000120693,Pernod Ricard SA,Consumer Staples,0.00665119,204.505386,159.75,2023-12-29,RI FP
BMW GY Equity,DE0005190003,Bayerische Motoren Werke AG,Consumer Discretionary,0.006542839999999999,318.887617,100.78,2023-12-29,BMW GY
WKL NA Equity,NL0000395903,Wolters Kluwer NV,Industrials,0.00651159,248.516153,128.7,2023-12-29,WKL NA
STMPA FP Equity,NL0000226223,STMicroelectronics NV,Information Technology,0.006295619999999999,683.46144,45.245,2023-12-29,STMPA FP
SGO FP Equity,FR0000125007,Cie de Saint-Gobain SA,Industrials,0.00618546,455.77734,66.66,2023-12-29,SGO FP
ADS GY Equity,DE000A1EWWW0,adidas AG,Consumer Discretionary,0.0060738499999999996,162.0,184.16,2023-12-29,ADS GY
KER FP Equity,FR0000121485,Kering SA,Consumer Discretionary,0.00604711,74.442467,399.0,2023-12-29,KER FP
DSY FP Equity,FR0014003TT8,Dassault Systemes SE,Information Technology,0.00601787,668.224856,44.235,2023-12-29,DSY FP
CAP FP Equity,FR0000125338,Capgemini SE,Information Technology,0.00600328,156.223902,188.75,2023-12-29,CAP FP
AMS SQ Equity,ES0109067019,Amadeus IT Group SA,Consumer Discretionary,0.00595057,450.499205,64.88,2023-12-29,AMS SQ
ENGI FP Equity,FR0010208488,Engie SA,Utilities,0.005919069999999999,1826.463758,15.918,2023-12-29,ENGI FP
FLTR ID Equity,IE00BWT6H894,Flutter Entertainment PLC,Consumer Discretionary,0.00575495,176.671823,160.0,2023-12-29,FLTR ID
EOAN GY Equity,DE000ENAG999,E.ON SE,Utilities,0.00555354,2245.12098,12.15,2023-12-29,EOAN GY
HEIA NA Equity,NL0000009165,Heineken NV,Consumer Staples,0.0053908,288.001307,91.94,2023-12-29,HEIA NA
RWE GY Equity,DE0007037129,RWE AG,Utilities,0.005300780000000001,632.265034,41.18,2023-12-29,RWE GY
ADYEN NA Equity,NL0012969182,Adyen NV,Financials,0.0051572200000000006,21.714009,1166.6,2023-12-29,ADYEN NA
AD NA Equity,NL0011794037,Koninklijke Ahold Delhaize NV,Consumer Staples,0.0050885,960.752804,26.015,2023-12-29,AD NA
LR FP Equity,FR0010307819,Legrand SA,Industrials,0.00507832,265.079745,94.1,2023-12-29,LR FP
DBK GY Equity,DE0005140008,Deutsche Bank AG,Financials,0.00487886,1938.230811,12.364,2023-12-29,DBK GY
VOW3 GY Equity,DE0007664039,Volkswagen AG,Consumer Discretionary,0.00469349,206.205445,111.8,2023-12-29,VOW3 GY
ASM NA Equity,NL0000334118,ASM International NV,Information Technology,0.0044927,46.957121,469.95,2023-12-29,ASM NA
ML FP Equity,FR001400AJ45,Cie Generale des Etablissements Michelin SCA,Consumer Discretionary,0.00448328,678.411483,32.46,2023-12-29,ML FP
UMG NA Equity,NL0015000IY2,Universal Music Group NV,Communication Services,0.00430743,819.74023,25.81,2023-12-29,UMG NA
VNA GY Equity,DE000A1ML7J1,Vonovia SE,Real Estate,0.00426009,733.180498,28.54,2023-12-29,VNA GY
ARGX BB Equity,NL0010832176,Argenx SE,Health Care,0.00413153,59.078527,343.5,2023-12-29,ARGX BB
CLNX SQ Equity,ES0105066007,Cellnex Telecom SA,Communication Services,0.0041032,565.1803,35.66,2023-12-29,CLNX SQ
VIE FP Equity,FR0000124141,Veolia Environnement SA,Utilities,0.00395162,679.614681,28.56,2023-12-29,VIE FP
G IM Equity,IT0000062072,Generali,Financials,0.0039422,1013.53295,19.105,2023-12-29,G IM
PUB FP Equity,FR0000130577,Publicis Groupe SA,Communication Services,0.0039141900000000006,228.880674,84.0,2023-12-29,PUB FP
ORA FP Equity,FR0000133308,Orange SA,Communication Services,0.0039061499999999997,1862.039619,10.304,2023-12-29,ORA FP
MRK GY Equity,DE0006599905,Merck KGaA,Health Care,0.0037916,129.242252,144.1,2023-12-29,MRK GY
DTG GY Equity,DE000DTR0CK8,Daimler Truck Holding AG,Industrials,0.0037048999999999997,534.918723,34.02,2023-12-29,DTG GY
UPM FH Equity,FI0009005987,UPM-Kymmene Oyj,Materials,0.00370105,533.735699,34.06,2023-12-29,UPM FH
SAMPO FH Equity,FI4000552500,Sampo Oyj,Financials,0.00364046,451.437077,39.61,2023-12-29,SAMPO FH
GLE FP Equity,FR0000130809,Societe Generale SA,Financials,0.00361306,738.681875,24.025,2023-12-29,GLE FP
TEF SQ Equity,ES0178430E18,Telefonica SA,Communication Services,0.0035167500000000003,4887.889423,3.534,2023-12-29,TEF SQ
REP SQ Equity,ES0173516115,Repsol SA,Energy,0.0034978599999999998,1277.396053,13.45,2023-12-29,REP SQ
DSFIR NA Equity,CH1216478797,DSM-Firmenich AG,Materials,0.00348332,185.973472,92.0,2023-12-29,DSFIR NA
FER SQ Equity,NL0015001FS8,Ferrovial SE,Industrials,0.00344694,512.746275,33.02,2023-12-29,FER SQ
PHIA NA Equity,NL0000009538,Koninklijke Philips NV,Health Care,0.00338843,789.352517,21.085,2023-12-29,PHIA NA
NOKIA FH Equity,FI0009000681,Nokia Oyj,Information Technology,0.00335979,5407.207697,3.052,2023-12-29,NOKIA FH
CABK SQ Equity,ES0140609019,CaixaBank SA,Financials,0.00313,4126.17239,3.726,2023-12-29,CABK SQ
KNEBV FH Equity,FI0009013403,Kone Oyj,Industrials,0.00312498,339.890361,45.16,2023-12-29,KNEBV FH
SHL GY Equity,DE000SHL1006,Siemens Healthineers AG,Health Care,0.00301987,282.0,52.6,2023-12-29,SHL GY
KBC BB Equity,BE0003565737,KBC Group NV,Financials,0.0029922900000000003,250.301648,58.72,2023-12-29,KBC BB
EDP PL Equity,PTEDP0AM0009,EDP SA,Utilities,0.00291003,3138.016218,4.555,2023-12-29,EDP PL
HO FP Equity,FR0000121329,Thales SA,Industrials,0.00286629,105.10507,133.95,2023-12-29,HO FP
ACA FP Equity,FR0000045072,Credit Agricole SA,Financials,0.0027956500000000002,1068.458297,12.852,2023-12-29,ACA FP
BEI GY Equity,DE0005200000,Beiersdorf AG,Consumer Staples,0.0027848,100.8,135.7,2023-12-29,BEI GY
NESTE FH Equity,FI0009013296,Neste Oyj,Energy,0.0027743,423.066082,32.21,2023-12-29,NESTE FH
EDEN FP Equity,FR0010908533,Edenred SE,Financials,0.00275103,249.588059,54.14,2023-12-29,EDEN FP
AER UN Equity,NL0000687663,AerCap Holdings NV,Industrials,0.0027380300000000002,200.212178,74.32,2023-12-29,AER UN
SY1 GY Equity,DE000SYM9999,Symrise AG,Materials,0.00269359,132.783451,99.64,2023-12-29,SY1 GY
MT NA Equity,LU1598757687,ArcelorMittal SA,Materials,0.0026746599999999997,511.685863,25.675,2023-12-29,MT NA
HNR1 GY Equity,DE0008402215,Hannover Rueck SE,Financials,0.00265532,60.298567,216.3,2023-12-29,HNR1 GY
AKZA NA Equity,NL0013267909,Akzo Nobel NV,Materials,0.00259859,170.594686,74.82,2023-12-29,AKZA NA
EBS AV Equity,AT0000652011,Erste Group Bank AG,Financials,0.00257117,343.84,36.73,2023-12-29,EBS AV
KYGA ID Equity,IE0004906560,Kerry Group PLC,Consumer Staples,0.00255286,159.411461,78.66,2023-12-29,KYGA ID
RHM GY Equity,DE0007030009,Rheinmetall AG,Industrials,0.00254514,43.55885,287.0,2023-12-29,RHM GY
CCEP UW Equity,GB00BDCPN049,Coca-Cola Europacific Partners PLC,Consumer Staples,0.00253576,206.480786,66.74,2023-12-29,CCEP UW
HEN3 GY Equity,DE0006048432,Henkel AG & Co KGaA,Consumer Staples,0.00251064,169.254731,72.86,2023-12-29,HEN3 GY
AENA SQ Equity,ES0105046009,Aena SME SA,Industrials,0.0025056699999999998,75.0,164.1,2023-12-29,AENA SQ
