ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw,sector_pct_rank,in_esg_universe
SAP GY Equity,DE0007164600,SAP SE,Information Technology,0.02779098,982.803386,120.32,2019-12-31,SAP GY,SAP GY,SAP GR,SAP GR,12.13920004,0.5555555555555556,False
TTE FP Equity,FR0000120271,TotalEnergies SE,Energy,0.02775143,2400.053652,49.2,2019-12-31,TTE FP,TTE FP,TTE FP,TTE FP,9.8405233,0.75,False
MC FP Equity,FR0000121014,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,0.0270604,277.987207,414.2,2019-12-31,MC FP,MC FP,MC FP,MC FP,15.49269548,0.07692307692307693,True
ASML NA Equity,NL0010273215,ASML Holding NV,Information Technology,0.02637981,425.659415,263.7,2019-12-31,ASML NA,ASML NA,ASML NA,ASML NA,13.34239494,0.3333333333333333,False
SAN FP Equity,FR0000120578,Sanofi SA,Health Care,0.02373424,1126.862664,89.62,2019-12-31,SAN FP,SAN FP,SAN FP,SAN FP,12.96085788,0.3157894736842105,False
ALV GY Equity,DE0008404005,Allianz SE,Financials,0.02178655,424.459661,218.4,2019-12-31,ALV GY,ALV GY,ALV GR,ALV GR,12.51524897,0.22727272727272727,True
SIE GY Equity,DE0007236101,Siemens AG,Industrials,0.0209525,765.0,116.54,2019-12-31,SIE GY,SIE GY,SIE GR,SIE GR,12.2903563,0.34210526315789475,False
AIR FP Equity,NL0000235190,Airbus SE,Industrials,0.01789526,583.572541,130.48,2019-12-31,AIR FP,AIR FP,AIR FP,AIR FP,11.56071915,0.42105263157894735,False
UNAT NA Equity,NL0000388619,Unilever NV,Consumer Staples,0.01766848,1467.491315,51.23,2019-12-31,UNAT NA,UNAT NA,UNAT NA,UNAT NA,9.512132926,0.7058823529411765,False
BAYN GY Equity,DE000BAY0017,Bayer AG,Health Care,0.0159574499999999,932.551964,72.81,2019-12-31,BAYN GY,BAYN GY,BAYN GR,BAYN GR,5.350956938,1.0,False
OR FP Equity,FR0000120321,L'Oreal SA,Consumer Staples,0.01567838,252.69567,264.0,2019-12-31,OR FP,OR FP,OR FP,OR FP,11.13145546,0.5294117647058824,False
SAN SQ Equity,ES0113900J37,Banco Santander SA,Financials,0.01456766,16618.114582,3.73,2019-12-31,SAN SQ,SAN SQ,SAN SM,SAN SM,10.85115598,0.6590909090909091,False
BAS GY Equity,DE000BASF111,BASF SE,Materials,0.01453805,918.478694,67.35,2019-12-31,BAS GY,BAS GY,BAS GR,BAS GR,9.504436296,0.7058823529411765,False
AI FP Equity,FR0000120073,Air Liquide SA,Materials,0.0139903899999999,471.705862,126.2,2019-12-31,AI FP,AI FP,AI FP,AI FP,9.466211463,0.7647058823529411,False
BNP FP Equity,FR0000131104,BNP Paribas SA,Financials,0.01396569,1124.818705,52.83,2019-12-31,BNP FP,BNP FP,BNP FP,BNP FP,11.50298566,0.45454545454545453,False
ENEL IM Equity,IT0003128367,Enel SpA,Utilities,0.01351795,8133.343957,7.072,2019-12-31,ENEL IM,ENEL IM,ENEL IM,ENEL IM,11.39053013,0.6111111111111112,False
IBE SQ Equity,ES0144580Y14,Iberdrola SA,Utilities,0.0130396,6043.9684,9.18,2019-12-31,IBE SQ,IBE SQ,IBE SM,IBE SM,10.53379258,0.8888888888888888,False
ABI BB Equity,BE0974293251,Anheuser-Busch InBev SA/NV,Consumer Staples,0.01302042,761.95897,72.71,2019-12-31,ABI BB,ABI BB,ABI BB,ABI BB,7.442193321,1.0,False
ADS GY Equity,DE000A1EWWW0,adidas AG,Consumer Discretionary,0.01228494,180.374567,289.8,2019-12-31,ADS GY,ADS GY,ADS GR,ADS GR,11.03421223,0.5769230769230769,False
SU FP Equity,FR0000121972,Schneider Electric SE,Industrials,0.01188924,552.883757,91.5,2019-12-31,SU FP,SU FP,SU FP,SU FP,14.55448734,0.10526315789473684,True
DG FP Equity,FR0000125486,Vinci SA,Industrials,0.01188341,510.747883,99.0,2019-12-31,DG FP,DG FP,DG FP,DG FP,10.48962162,0.6052631578947368,False
