ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw
ASML NA Equity,NL0010273215,ASML Holding NV,Information Technology,0.05595013,403.138042,681.7,2023-12-29,ASML NA,ASML NA,ASML NA,ASML NA,13.34239494
MC FP Equity,FR0000121014,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,0.04124028,276.12662,733.6,2023-12-29,MC FP,MC FP,MC FP,MC FP,15.49269548
SAP GY Equity,DE0007164600,SAP SE,Information Technology,0.02965252,1044.228597,139.48,2023-12-29,SAP GY,SAP GY,SAP GR,SAP GR,12.13920004
TTE FP Equity,FR0000120271,TotalEnergies SE,Energy,0.02873962,2291.639243,61.6,2023-12-29,TTE FP,TTE FP,TTE FP,TTE FP,9.8405233
SIE GY Equity,DE0007236101,Siemens AG,Industrials,0.0262913,760.0,169.92,2023-12-29,SIE GY,SIE GY,SIE GR,SIE GR,12.2903563
OR FP Equity,FR0000120321,L'Oreal SA,Consumer Staples,0.02212933,241.198698,450.65,2023-12-29,OR FP,OR FP,OR FP,OR FP,11.13145546
SAN FP Equity,FR0000120578,Sanofi SA,Health Care,0.02080118,1138.285286,89.76,2023-12-29,SAN FP,SAN FP,SAN FP,SAN FP,12.96085788
SU FP Equity,FR0000121972,Schneider Electric SE,Industrials,0.02013974,544.19409,181.78,2023-12-29,SU FP,SU FP,SU FP,SU FP,14.55448734
ALV GY Equity,DE0008404005,Allianz SE,Financials,0.01986657,403.313996,241.95,2023-12-29,ALV GY,ALV GY,ALV GR,ALV GR,12.51524897
AI FP Equity,FR0000120073,Air Liquide SA,Materials,0.01877932,523.741618,176.12,2023-12-29,AI FP,AI FP,AI FP,AI FP,9.466211463
AIR FP Equity,NL0000235190,Airbus SE,Industrials,0.0168696,592.796708,139.78,2023-12-29,AIR FP,AIR FP,AIR FP,AIR FP,11.56071915
IBE SQ Equity,ES0144580Y14,Iberdrola SA,Utilities,0.01457878,6032.7641,11.87,2023-12-29,IBE SQ,IBE SQ,IBE SM,IBE SM,10.53379258
DTE GY Equity,DE0005557508,Deutsche Telekom AG,Communication Services,0.01435221,3241.198087,21.75,2023-12-29,DTE GY,DTE GY,DTE GR,DTE GR,10.69840454
BNP FP Equity,FR0000131104,BNP Paribas SA,Financials,0.0133856299999999,1050.461,62.59,2023-12-29,BNP FP,BNP FP,BNP FP,BNP FP,11.50298566
SAN SQ Equity,ES0113900J37,Banco Santander SA,Financials,0.01245312,16184.146059,3.7795,2023-12-29,SAN SQ,SAN SQ,SAN SM,SAN SM,10.85115598
